label,color,weather,subnivel,formalidad,adventurous,estampado,estilo,fit,application
97,000081,warm,2.0,Informal,1,horizontal_stripes,street,loose,freetime
98,FFFF00,warm,2.0,Informal,1,horizontal_stripes,street,loose,freetime
99,000000,warm,2.0,Informal,1,horizontal_stripes,street,loose,freetime
100,000000,warm,1.2,Informal,2,ethnic,boho,straight,freetime
101,B11730,warm,1.2,Informal,2,ethnic,boho,straight,freetime
102,000000,warm,3.0,Formal,2,floral,boho,loose,freetime
103,FFFF00,warm,2.0,Informal,1,printed,classic,straight,freetime
104,D84936,warm,2.0,Informal,1,printed,classic,straight,freetime
105,FFFFFF,warm,2.0,Informal,1,printed,classic,straight,freetime
106,00008b,warm,2.0,Informal,1,printed,classic,straight,freetime
107,008000,warm,2.0,Informal,1,smooth,street,straight,work
108,666633,warm,2.0,Informal,1,smooth,street,straight,work
109,DFC8B2,warm,3.2,Informal,3,smooth,casual,,freetime
110,800000,warm,1.1,Informal,2,smooth,casual,straight,freetime
111,FFC0CB,warm,1.1,Informal,1,smooth,minimal,straight,working_girl
112,008000,warm,1.1,Informal,1,smooth,minimal,straight,working_girl
113,164A0A,warm,1.1,Informal,1,smooth,minimal,straight,working_girl
114,ECE9D6,warm,1.1,Informal,3,floral,boho,loose,freetime
115,C19A6B,warm,1.1,Formal,1,smooth,classic,straight,freetime
116,B94600,warm,1.1,Formal,1,smooth,classic,straight,freetime
117,000000,warm,1.1,Formal,1,smooth,classic,straight,freetime
118,164A0A,warm,1.1,Formal,1,smooth,classic,straight,freetime
119,164A0A,warm,1.2,Formal,2,retro,classic,loose,work
120,00008b,warm,1.2,Formal,1,floral,classic,straight,freetime
121,D84936,warm,1.2,Formal,1,floral,classic,straight,freetime
122,008000,warm,1.1,Informal,2,floral,street,straight,freetime
123,D84936,warm,1.2,Informal,2,smooth,minimal,straight,work
124,462C0E,warm,3.2,Formal,3,smooth,classic,,freetime
125,A57E62,warm,1.1,Informal,3,vertical_stripes,casual,straight,freetime
126,BBA9E4,warm,3.0,Formal,1,cachemere,boho,loose,freetime
127,DFC8B2,warm,2.0,Informal,2,smooth,minimal,straight,freetime
128,B94600,warm,2.0,Informal,2,smooth,minimal,straight,freetime
129,DEB24C,warm,2.0,Informal,2,smooth,minimal,straight,freetime
130,000000,warm,3.0,Formal,2,smooth,classic,oversize,freetime
131,ECE9D6,warm,3.0,Formal,2,smooth,classic,oversize,freetime
132,00008b,warm,1.2,Formal,2,retro,boho,straight,work
133,164A0A,warm,1.2,Informal,2,smooth,street,straight,freetime
134,D84936,warm,3.1,Formal,2,smooth,minimal,tight,special_occasion
135,00008b,cold,3.1,Informal,3,floral,boho,loose,freetime
136,FFFFFF,warm,2.0,Informal,2,smooth,boho,straight,freetime
137,C19A6B,warm,2.0,Informal,2,smooth,boho,straight,freetime
138,87CEFA,cold,2.0,Informal,1,smooth,casual,straight,freetime
139,00008b,warm,1.1,Informal,1,horizontal_stripes,casual,straight,freetime
140,008000,warm,1.1,Informal,1,horizontal_stripes,casual,straight,freetime
141,000000,warm,1.2,Formal,2,smooth,classic,straight,freetime
142,FFFFFF,warm,1.2,Formal,2,smooth,classic,straight,freetime
143,000000,warm,2.0,Formal,2,smooth,classic,straight,night
144,00008b,warm,2.0,Formal,2,smooth,classic,straight,night
145,808080,cold,3.0,Informal,4,smooth,minimal,loose,freetime
146,000000,cold,3.0,Informal,4,smooth,minimal,loose,freetime
147,ECE9D6,warm,2.0,Informal,2,floral,boho,straight,freetime
148,808080,cold,1.1,Formal,2,smooth,casual,tight,work
149,000000,warm,3.1,Informal,2,floral,street,loose,freetime
150,C19A6B,cold,2.0,Formal,3,retro,classic,straight,work
151,87CEFA,warm,2.0,Informal,2,smooth,classic,straight,freetime
152,ECE9D6,warm,2.0,Informal,2,smooth,classic,straight,freetime
153,000000,warm,2.0,Informal,2,smooth,classic,straight,freetime
154,000081,warm,1.1,Formal,4,smooth,classic,tight,freetime
155,DFC8B2,warm,1.1,Formal,3,animal_print,classic,straight,freetime
156,666633,warm,3.1,Informal,2,smooth,street,tight,freetime
157,FFFFFF,warm,3.1,Informal,2,smooth,street,tight,freetime
158,00008b,warm,3.1,Informal,2,smooth,casual,loose,freetime
159,666633,warm,3.1,Informal,2,smooth,casual,loose,freetime
160,666633,warm,1.1,Formal,1,pied_de_poule,classic,tight,freetime
161,DFC8B2,warm,1.1,Formal,1,pied_de_poule,classic,tight,freetime
162,FFFFFF,warm,2.0,Informal,2,smooth,street,straight,freetime
163,0000FF,warm,2.0,Informal,2,smooth,street,straight,freetime
164,000000,warm,2.0,Informal,2,smooth,street,straight,freetime
165,164A0A,warm,2.0,Informal,2,smooth,street,straight,freetime
166,614051,warm,2.0,Informal,2,smooth,street,straight,freetime
167,00008b,warm,2.0,Informal,2,horizontal_stripes,boho,straight,freetime
168,ECE9D6,warm,1.2,Formal,3,floral,boho,loose,freetime
169,87CEFA,warm,1.1,Formal,2,vertical_stripes,casual,tight,freetime
170,FFFFFF,warm,3.1,Formal,1,smooth,minimal,straight,working_girl
171,00008b,warm,3.1,Formal,1,smooth,minimal,straight,working_girl
172,DFC8B2,cold,3.1,Informal,2,smooth,casual,straight,freetime
173,008000,warm,2.0,Informal,2,smooth,street,straight,freetime
174,0000FF,cold,3.0,Informal,2,smooth,casual,straight,freetime
175,008000,cold,3.0,Informal,2,smooth,casual,straight,freetime
176,00008b,warm,1.2,Formal,1,floral,classic,loose,work
177,B11730,warm,1.2,Informal,2,printed,street,tight,freetime
178,DEB24C,warm,2.0,Informal,2,printed,street,straight,freetime
179,000000,warm,3.1,Formal,2,floral,boho,loose,freetime
180,FFC0CB,warm,1.1,Formal,3,floral,classic,loose,freetime
181,000081,warm,1.1,Formal,3,floral,classic,loose,freetime
182,87CEFA,warm,1.1,Informal,2,smooth,casual,straight,freetime
183,C19A6B,warm,1.1,Informal,2,smooth,casual,straight,freetime
184,DEB24C,cold,3.0,Informal,4,smooth,casual,straight,freetime
185,0000FF,cold,3.0,Informal,4,smooth,casual,straight,freetime
186,B11730,cold,3.0,Informal,4,smooth,casual,straight,freetime
187,D3D3D3,cold,3.0,Informal,4,smooth,casual,straight,freetime
188,000000,cold,3.0,Informal,4,smooth,casual,straight,freetime
189,FFFFFF,cold,3.0,Informal,4,smooth,casual,straight,freetime
190,D84936,cold,1.1,Formal,2,smooth,casual,tight,freetime
191,FFFF00,cold,1.1,Formal,2,smooth,casual,tight,freetime
192,164A0A,cold,1.1,Formal,2,smooth,casual,tight,freetime
193,DFC8B2,cold,1.1,Formal,2,smooth,casual,tight,freetime
194,DEB24C,cold,3.0,Informal,1,smooth,casual,loose,freetime
195,FFC0CB,cold,3.0,Informal,1,smooth,casual,loose,freetime
196,00008b,cold,3.0,Informal,1,smooth,casual,loose,freetime
197,000081,cold,1.1,Formal,1,smooth,street,tight,freetime
198,000000,warm,1.1,Formal,4,smooth,classic,tight,freetime
199,000000,cold,1.2,Informal,1,smooth,minimal,straight,working_girl
200,164A0A,warm,2.0,Informal,1,smooth,boho,loose,freetime
201,666633,warm,2.0,Informal,1,smooth,boho,loose,freetime
202,FFFFFF,cold,3.0,Informal,2,smooth,casual,loose,freetime
203,00008b,cold,3.0,Informal,2,smooth,casual,loose,freetime
204,000000,cold,3.0,Informal,2,smooth,casual,loose,freetime
205,00008b,cold,3.0,Informal,1,smooth,casual,loose,freetime
206,DEB24C,cold,3.0,Informal,1,smooth,casual,loose,freetime
207,FFC0CB,cold,3.0,Informal,1,smooth,casual,loose,freetime
208,E65A5B,warm,2.0,Formal,2,smooth,classic,straight,night
209,000000,warm,2.0,Formal,2,smooth,classic,straight,night
210,800000,warm,2.0,Formal,2,smooth,classic,straight,night
211,FFFFFF,warm,2.0,Formal,2,smooth,classic,straight,night
212,DEB24C,warm,2.0,Formal,2,smooth,classic,straight,night
213,00008b,warm,2.0,Formal,2,smooth,classic,straight,night
214,00008b,warm,3.0,Informal,3,smooth,street,straight,freetime
215,DFC8B2,warm,3.0,Informal,3,smooth,street,straight,freetime
216,B94600,warm,3.0,Informal,3,smooth,street,straight,freetime
217,462C0E,warm,1.1,Informal,2,bodoque,street,loose,freetime
218,FFFFFF,warm,2.0,Formal,2,smooth,classic,straight,freetime
219,000000,warm,1.2,Formal,2,smooth,classic,loose,night
220,000081,warm,1.1,Formal,1,smooth,casual,tight,freetime
221,FFFF00,cold,3.0,Informal,2,smooth,boho,loose,freetime
222,000000,cold,1.1,Informal,1,smooth,minimal,tight,working_girl
223,00008b,cold,1.1,Informal,2,smooth,street,tight,freetime
224,000000,warm,1.2,Formal,2,miniprint,classic,tight,night
225,00008b,cold,3.0,Informal,2,,casual,oversize,freetime
226,000000,cold,1.2,Formal,2,floral,boho,straight,freetime
227,0000FF,cold,3.0,Informal,2,printed,boho,loose,freetime
228,00008b,warm,1.1,Informal,1,smooth,boho,tight,freetime
229,DFC8B2,warm,2.0,Informal,2,floral,boho,straight,freetime
230,00008b,cold,2.0,Informal,2,geometric,boho,loose,work
231,666633,warm,3.1,Informal,3,smooth,casual,straight,freetime
232,FFC0CB,warm,1.1,Informal,3,vertical_stripes,classic,straight,freetime
233,000081,warm,1.1,Informal,3,vertical_stripes,classic,straight,freetime
234,FFFFFF,warm,1.1,Informal,3,vertical_stripes,boho,straight,freetime
235,000000,warm,1.1,Informal,3,vertical_stripes,boho,straight,freetime
236,87CEFA,warm,1.1,Formal,2,smooth,street,tight,freetime
237,FFFFFF,warm,1.1,Formal,2,smooth,street,tight,freetime
238,00008b,warm,1.1,Formal,2,smooth,street,tight,freetime
239,DEB24C,warm,3.2,Informal,3,retro,boho,,work
240,D3D3D3,warm,3.0,Informal,1,smooth,minimal,straight,freetime
241,00008b,warm,3.0,Informal,1,smooth,minimal,straight,freetime
242,000000,warm,3.0,Informal,1,smooth,minimal,straight,freetime
243,DEB24C,warm,3.1,Formal,5,floral,boho,straight,freetime
244,FFFF00,warm,3.2,Informal,3,other,casual,,freetime
245,B11730,warm,3.2,Informal,3,other,casual,,freetime
246,40E0D0,warm,3.2,Informal,3,other,casual,,freetime
247,666633,warm,1.1,Formal,3,smooth,street,straight,freetime
248,ECE9D6,warm,2.0,Informal,2,smooth,classic,straight,freetime
249,DEB24C,warm,2.0,Formal,1,floral,classic,straight,freetime
250,87CEFA,warm,2.0,Informal,2,polka_dot,classic,straight,freetime
251,FFFFFF,warm,2.0,Informal,2,polka_dot,classic,straight,freetime
252,B94600,warm,2.0,Informal,2,polka_dot,classic,straight,freetime
253,D84936,warm,2.0,Informal,2,polka_dot,classic,straight,freetime
254,DEB24C,warm,2.0,Informal,2,printed,casual,straight,freetime
255,00008b,warm,2.0,Informal,2,printed,casual,straight,freetime
256,FFFFFF,warm,2.0,Informal,2,printed,casual,straight,freetime
257,008000,warm,2.0,Informal,2,printed,casual,straight,freetime
258,87CEFA,warm,2.0,Informal,1,printed,casual,straight,freetime
259,DEB24C,warm,2.0,Informal,1,printed,casual,straight,freetime
260,FFFFFF,warm,2.0,Informal,1,printed,casual,straight,freetime
261,000000,cold,1.1,Informal,2,smooth,minimal,straight,working_girl
262,00008b,cold,1.1,Informal,2,smooth,minimal,straight,working_girl
263,B94600,cold,1.1,Informal,2,smooth,minimal,straight,working_girl
264,FFFFFF,warm,2.0,Informal,2,mariniere,casual,straight,freetime
265,00008b,warm,2.0,Informal,2,mariniere,casual,straight,freetime
266,FFA500,warm,2.0,Informal,2,mariniere,casual,straight,freetime
267,87CEFA,warm,2.0,Informal,2,mariniere,casual,straight,freetime
268,00008b,warm,1.1,Formal,2,smooth,casual,tight,work
269,000000,warm,1.2,Informal,1,smooth,minimal,tight,work
270,FFA500,warm,1.2,Formal,3,retro,classic,straight,freetime
271,008000,cold,2.0,Informal,2,vertical_stripes,street,straight,freetime
272,00008b,cold,2.0,Informal,2,vertical_stripes,street,straight,freetime
273,E65A5B,cold,2.0,Informal,2,vertical_stripes,street,straight,freetime
274,00008b,cold,1.1,Formal,1,smooth,casual,tight,freetime
275,87CEFA,cold,1.1,Formal,1,smooth,classic,tight,freetime
276,D3D3D3,cold,3.0,Informal,2,smooth,street,loose,work
277,000000,cold,2.0,Informal,1,horizontal_stripes,minimal,tight,freetime
278,B11730,warm,2.0,Informal,2,smooth,casual,straight,freetime
279,00008b,cold,3.1,Informal,1,smooth,night,straight,night
280,008000,warm,3.1,Informal,2,smooth,casual,loose,freetime
281,614051,warm,2.0,Informal,2,vertical_stripes,boho,loose,freetime
282,00008b,warm,2.0,Informal,2,vertical_stripes,boho,loose,freetime
283,DEB24C,warm,2.0,Informal,2,vertical_stripes,boho,loose,freetime
284,5F5E5E,warm,2.0,Informal,2,vertical_stripes,boho,loose,freetime
285,808080,cold,1.1,Formal,1,smooth,street,straight,freetime
286,87CEFA,cold,1.1,Formal,1,smooth,street,straight,freetime
287,000000,cold,1.1,Formal,1,smooth,street,straight,freetime
288,FFFF00,warm,1.1,Informal,2,smooth,casual,tight,freetime
289,FFC0CB,warm,1.1,Informal,2,smooth,casual,tight,freetime
290,000000,warm,1.1,Informal,2,smooth,casual,tight,freetime
291,40E0D0,warm,1.1,Informal,2,smooth,casual,tight,freetime
292,ECE9D6,warm,1.1,Informal,2,smooth,casual,tight,freetime
293,E65A5B,warm,1.1,Informal,2,smooth,casual,tight,freetime
294,000000,warm,1.1,Informal,3,ethnic,boho,loose,freetime
295,000081,warm,1.1,Formal,2,smooth,boho,tight,freetime
296,00008b,cold,2.0,Informal,2,smooth,classic,straight,work
297,D84936,cold,2.0,Informal,2,smooth,classic,straight,work
298,87CEFA,cold,3.0,Informal,2,smooth,minimal,loose,work
299,000000,warm,1.2,Informal,1,floral,boho,straight,freetime
300,462C0E,warm,1.2,Formal,1,vertical_stripes,classic,straight,freetime
301,000081,warm,1.2,Formal,1,vertical_stripes,classic,straight,freetime
302,87CEFA,warm,3.1,Formal,2,smooth,casual,straight,freetime
303,000081,warm,1.1,Informal,2,vertical_stripes,street,loose,freetime
304,00008b,warm,2.0,Formal,2,printed,classic,tight,freetime
305,FFC0CB,warm,1.1,Informal,2,smooth,casual,straight,freetime
306,666633,warm,1.1,Informal,2,smooth,casual,straight,freetime
307,FFFFFF,warm,1.1,Informal,2,smooth,casual,straight,freetime
308,00008b,warm,1.1,Informal,2,smooth,casual,straight,freetime
309,FFFF00,warm,2.0,Informal,2,animal_print,street,straight,freetime
310,FFFFFF,cold,1.1,Formal,2,miniprint,classic,tight,freetime
311,00008b,warm,1.1,Formal,1,smooth,classic,straight,freetime
312,DEB24C,warm,1.1,Formal,1,smooth,classic,straight,freetime
313,DFC8B2,cold,1.1,Informal,2,smooth,minimal,straight,working_girl
314,F29985,cold,1.1,Informal,2,smooth,minimal,straight,working_girl
315,008000,cold,1.1,Informal,2,smooth,minimal,straight,working_girl
316,000000,warm,1.1,Informal,1,herringbone,boho,tight,freetime
317,000000,warm,1.1,Informal,1,smooth,minimal,tight,freetime
318,00008b,warm,1.1,Informal,1,smooth,minimal,tight,freetime
319,00008b,warm,1.1,Informal,2,miniprint,minimal,tight,freetime
320,000000,warm,1.1,Informal,2,miniprint,minimal,tight,freetime
321,008000,warm,2.0,Formal,1,vertical_stripes,classic,oversize,freetime
322,000000,warm,2.0,Formal,1,vertical_stripes,classic,oversize,freetime
323,DEB24C,warm,3.1,Formal,3,vertical_stripes,minimal,straight,working_girl
324,ECE9D6,warm,1.2,Informal,2,vertical_stripes,minimal,straight,work
325,000081,cold,2.0,Informal,2,horizontal_stripes,casual,tight,freetime
326,FFA500,cold,2.0,Informal,2,horizontal_stripes,casual,tight,freetime
327,A57E62,cold,1.2,Informal,2,animal_print,street,straight,freetime
328,FFFF00,warm,3.0,Formal,2,geometric,classic,straight,freetime
329,00008b,warm,2.0,Formal,2,floral,classic,straight,freetime
330,DEB24C,warm,2.0,Formal,2,floral,classic,straight,freetime
331,DEB24C,warm,2.0,Formal,2,floral,classic,straight,freetime
332,000081,warm,2.0,Formal,2,floral,classic,straight,freetime
333,DFC8B2,warm,1.1,Informal,2,smooth,casual,loose,freetime
334,666633,warm,1.1,Informal,2,smooth,casual,loose,freetime
335,DEB24C,warm,2.0,Formal,2,smooth,classic,straight,freetime
336,FFFFFF,warm,2.0,Formal,2,smooth,classic,straight,freetime
337,B94600,warm,2.0,Formal,2,smooth,classic,straight,freetime
338,DEB24C,cold,2.0,Informal,3,ethnic,boho,straight,work
339,FFC0CB,cold,2.0,Informal,3,ethnic,boho,straight,work
340,DEB24C,cold,2.0,Formal,3,retro,classic,straight,work
341,ECE9D6,cold,2.0,Formal,3,retro,classic,straight,work
342,FFC0CB,warm,3.0,Informal,2,floral,casual,loose,freetime
343,00008b,warm,3.0,Informal,1,floral,casual,loose,freetime
344,FF00A8,warm,3.1,Informal,3,smooth,street,straight,freetime
345,DEB24C,cold,3.0,Informal,2,smooth,boho,oversize,freetime
346,164A0A,warm,2.0,Informal,2,smooth,street,straight,freetime
347,FFA500,warm,2.0,Informal,2,smooth,street,straight,freetime
348,FFFFFF,warm,2.0,Informal,2,smooth,street,straight,freetime
349,008000,warm,2.0,Informal,2,smooth,street,straight,freetime
350,00008b,warm,2.0,Informal,2,smooth,street,straight,freetime
351,DEB24C,warm,2.0,Informal,2,smooth,street,straight,freetime
352,FFC0CB,warm,2.0,Informal,2,smooth,street,straight,freetime
353,462C0E,warm,1.1,Informal,2,smooth,casual,loose,freetime
354,000000,warm,1.1,Informal,2,smooth,casual,loose,freetime
355,000000,cold,1.1,Formal,2,smooth,street,tight,freetime
356,00008b,cold,1.1,Formal,2,smooth,street,tight,freetime
357,87CEFA,cold,3.0,Informal,2,horizontal_stripes,casual,loose,freetime
358,FFFFFF,cold,2.0,Informal,4,smooth,minimal,straight,working_girl
359,E65A5B,cold,2.0,Informal,4,smooth,minimal,straight,working_girl
360,000000,warm,2.0,Informal,2,smooth,boho,tight,night
361,000081,warm,1.1,Informal,3,smooth,boho,straight,freetime
362,00008b,warm,2.0,Formal,2,smooth,classic,straight,freetime
363,800000,warm,2.0,Formal,2,smooth,classic,straight,freetime
364,FFFFFF,warm,2.0,Formal,2,smooth,classic,straight,freetime
365,ECE9D6,warm,2.0,Informal,1,floral,boho,loose,freetime
366,00008b,warm,3.0,Formal,3,smooth,classic,tight,night
367,B94600,warm,3.0,Formal,3,smooth,classic,tight,night
368,164A0A,warm,3.0,Formal,3,smooth,classic,tight,night
369,B11730,warm,3.0,Formal,3,smooth,classic,tight,night
370,DFC8B2,warm,3.1,Informal,3,animal_print,street,loose,freetime
371,164A0A,warm,3.1,Formal,1,smooth,classic,loose,work
372,00008b,cold,1.1,Formal,4,smooth,classic,straight,freetime
373,9A8176,cold,1.1,Formal,4,smooth,classic,straight,freetime
374,FFC0CB,cold,1.1,Formal,4,smooth,classic,straight,freetime
375,000000,cold,1.1,Formal,4,smooth,classic,straight,freetime
376,FFA500,warm,1.1,Formal,3,smooth,classic,straight,freetime
377,DEB24C,warm,1.1,Formal,3,smooth,classic,straight,freetime
378,DEB24C,warm,2.0,Informal,5,smooth,boho,straight,night
379,DEB24C,warm,2.0,Formal,1,ethnic,classic,straight,freetime
380,FFFFFF,cold,2.0,Informal,1,smooth,classic,straight,freetime
381,000000,cold,2.0,Informal,1,smooth,classic,straight,freetime
382,5F5E5E,cold,2.0,Informal,1,smooth,classic,straight,freetime
383,ECE9D6,warm,2.0,Informal,2,smooth,street,straight,freetime
384,000000,warm,1.2,Formal,2,vertical_stripes,classic,straight,freetime
385,D3D3D3,cold,3.0,Informal,2,smooth,casual,loose,freetime
386,87CEFA,warm,1.1,Informal,1,vertical_stripes,casual,straight,freetime
387,0000FF,cold,3.1,Informal,2,smooth,casual,straight,freetime
388,666633,cold,3.1,Informal,2,smooth,casual,straight,freetime
389,FFC0CB,cold,3.1,Informal,2,smooth,casual,straight,freetime
390,00008b,cold,3.1,Informal,2,smooth,casual,straight,freetime
391,FFFF00,cold,3.1,Informal,2,smooth,casual,straight,freetime
392,0000FF,warm,1.1,Informal,1,smooth,casual,tight,freetime
393,5F5E5E,warm,1.1,Informal,1,smooth,casual,tight,freetime
394,D3D3D3,warm,1.1,Informal,1,smooth,casual,tight,freetime
395,B11730,warm,1.1,Informal,1,smooth,casual,tight,freetime
396,462C0E,warm,1.1,Informal,1,smooth,casual,tight,freetime
397,40E0D0,warm,1.1,Informal,1,smooth,casual,tight,freetime
398,FFFFFF,warm,1.1,Informal,1,smooth,casual,tight,freetime
399,C7A2A2,warm,1.1,Informal,1,smooth,casual,tight,freetime
400,9A8176,warm,1.1,Informal,1,smooth,casual,tight,freetime
401,666633,warm,1.1,Informal,1,smooth,casual,tight,freetime
402,00008b,cold,1.1,Formal,2,smooth,casual,tight,freetime
403,00008b,warm,2.0,Informal,2,sheets,boho,loose,work
404,00008b,cold,3.1,Informal,3,smooth,street,tight,night
405,BBE2AD,cold,3.1,Informal,3,smooth,street,tight,night
406,000000,warm,1.1,Informal,1,floral,boho,loose,freetime
407,462C0E,warm,1.1,Informal,3,animal_print,boho,straight,night
408,87CEFA,cold,1.1,Informal,1,smooth,street,tight,freetime
409,00008b,warm,3.0,Formal,3,smooth,minimal,oversize,work
410,87CEFA,warm,3.0,Formal,3,smooth,minimal,oversize,work
411,00008b,warm,1.1,Formal,2,smooth,classic,loose,work
412,B94600,warm,1.1,Formal,2,smooth,classic,loose,work
413,164A0A,warm,1.1,Formal,2,smooth,classic,loose,work
414,000000,warm,3.0,Formal,3,geometric,boho,loose,freetime
415,462C0E,cold,3.0,Informal,1,smooth,boho,loose,freetime
416,DEB24C,cold,3.0,Informal,1,smooth,boho,loose,freetime
417,D3D3D3,warm,3.0,Informal,2,smooth,street,loose,freetime
418,00008b,warm,3.0,Informal,2,smooth,street,loose,freetime
419,0000FF,warm,3.0,Informal,2,smooth,street,loose,freetime
420,DEB24C,warm,3.0,Informal,2,smooth,street,loose,freetime
421,008000,warm,3.0,Informal,2,smooth,street,loose,freetime
422,FFC0CB,warm,3.0,Informal,2,smooth,street,loose,freetime
423,FFA500,warm,3.0,Informal,2,smooth,street,loose,freetime
424,808080,warm,3.0,Informal,2,smooth,street,loose,freetime
425,00008b,warm,1.1,Informal,2,miniprint,street,straight,freetime
426,ECE9D6,cold,3.0,Formal,2,vertical_stripes,boho,oversize,freetime
427,000081,warm,3.2,Formal,3,printed,classic,,freetime
428,000081,warm,1.2,Informal,2,smooth,street,straight,freetime
429,000000,warm,2.0,Informal,1,smooth,minimal,tight,freetime
430,FFA500,warm,2.0,Informal,1,smooth,minimal,tight,freetime
431,FFFFFF,warm,2.0,Informal,1,smooth,minimal,tight,freetime
